tag,year,month,day,hour,minute,second,time_se,latitude,latitude_m,latitude_se,longitude,longitude_m,longitude_se,depth,depth_se,magnitude_a,magnitude_a_type,magnitude_b,magnitude_b_type,timetable,evaluation,info_assistance,max_seismic,damate_scale,tsunami_scale,area_large,area_Small,region,observation_points,flag
J,2018,02,01,00,00,25.79,0.11, 35,5803, 038, 140,0787, 051,58.17,0.8,0.5,V,0, ,5,1,1, , , ,3, 87,SOUTHERN IBARAKI PREF   , 20,A
J,2018,02,01,00,02,33.8,0.21, 36,2045, 054, 140,5331, 100,29.19,1.73,0.3,V,0, ,5,1,1, , , ,3,111,E OFF IBARAKI PREF      , 10,k
J,2018,02,01,00,07,4.71,0.12, 32,0801, 039, 132,0514, 046,18.48,3.81,0, ,0, ,5,1,1, , , ,7,300,HYUGANADA REGION        , 10,k
J,2018,02,01,00,08,9.28,0.15, 38,4626, 048, 142,0410, 104,48.08,1.68,0, ,0, ,5,1,1, , , ,2, 66,KINKAZAN REGION         , 13,k
J,2018,02,01,00,09,24.4,0.03, 34,0372, 010, 135,1737, 015,5.31,0.68,0.6,V,0, ,5,1,1, , , ,5,190,NW WAKAYAMA PREF        , 24,A
J,2018,02,01,00,12,12.68,0.03, 36,4892, 008, 140,3560, 017,5.94,0.37,0.5,V,0, ,5,1,1, , , ,3, 86,NORTHERN IBARAKI PREF   , 11,k
J,2018,02,01,00,12,16.51,0.03, 36,4890, 007, 140,3568, 014,6.52,0.33,1,V,0, ,5,1,1, , , ,3, 86,NORTHERN IBARAKI PREF   , 19,k
J,2018,02,01,00,12,33.55,0.7, 44,4294, 346, 149,2716, 415,30,0,3.8,V,0, ,6,3,1, , , ,1, 25,SE OFF ETOROFU          , 12,K
J,2018,02,01,00,12,37.18,0.04, 36,3426, 010, 139,2218, 014,6.64,0.76,0.2,V,0, ,5,1,1, , , ,3, 83,TOCHIGI GUNMA BORDER    , 14,k
J,2018,02,01,00,13,42.56,0.03, 36,4873, 007, 140,3584, 016,7.32,0.39,1.3,V,0, ,5,1,1, , , ,3, 86,NORTHERN IBARAKI PREF   , 32,A
J,2018,02,01,00,14,1.71,0.05, 36,4916, 013, 140,3497, 019,5.4,0.47,0.2,V,0, ,5,1,1, , , ,3, 86,NORTHERN IBARAKI PREF   , 10,s
J,2018,02,01,00,15,25.62,0.09, 42,2039, 032, 144,3201, 070,33.95,1.16,1.5,V,0, ,5,1,1, , , ,1, 28,SE OFF TOKACHI          , 13,k
J,2018,02,01,00,15,51.35,0.04, 35,3805, 010, 136,4227, 014,11.84,0.4,0.4,V,0, ,5,1,1, , , ,4,139,SW GIFU PREF            , 14,A
J,2018,02,01,00,17,53.58,0.04, 36,4901, 011, 140,3531, 024,5.13,0.57,0.4,V,0, ,5,1,1, , , ,3, 86,NORTHERN IBARAKI PREF   , 12,k
J,2018,02,01,00,19,39.45,0.04, 36,4885, 013, 140,3525, 025,5.12,0.62,0,V,0, ,5,1,1, , , ,3, 86,NORTHERN IBARAKI PREF   , 11,k
J,2018,02,01,00,19,59.49,0.03, 36,4898, 007, 140,3568, 016,6.48,0.38,0.6,V,0, ,5,1,1, , , ,3, 86,NORTHERN IBARAKI PREF   , 18,k
J,2018,02,01,00,22,57.3,0.13, 27,1972, 071, 129,0089, 113,22.34,3.94,1,v,0, ,5,1,1, , , ,7,294,NEAR OKINAWAJIMA ISLAND ,  5,A
J,2018,02,01,00,23,12.67,0.04, 40,0691, 010, 141,4569, 020,8.39,0.52,0.3,V,0, ,5,1,1, , , ,2, 48,NORTHERN IWATE PREF     , 18,A
J,2018,02,01,00,30,19.08,0.06, 35,2241, 016, 133,5130, 013,12.06,0.51,0.5,v,0, ,5,1,1, , , ,6,221,EASTERN TOTTORI PREF    , 16,A
J,2018,02,01,00,30,36.55,0.1, 33,2336, 024, 133,5824, 024,26.68,0.93,0.4,v,0, ,5,1,1, , , ,6,246,TOSA BAY REGION         , 16,A
J,2018,02,01,00,31,23.77,0.24, 35,3699, 054, 141,0128, 103,13.48,1.62,2.9,V,0, ,5,1,1, , , ,3,110,NEAR CHOSHI CITY        , 29,K
J,2018,02,01,00,36,3.46,0.09, 39,2512, 022, 142,2325, 050,34.05,0.79,0.8,V,0, ,5,1,1, , , ,2, 62,E OFF IWATE PREF        , 19,k
J,2018,02,01,00,36,16.29,0.36, 43,3065, 229, 145,2914, 236,126.37,2.83,1.2,V,0, ,5,1,1, , , ,1, 23,NEAR KUNASHIRI ISLAND   ,  9,k
J,2018,02,01,00,38,17.55,0.29, 35,3691, 063, 141,0171, 119,13.05,1.81,2.4,V,0, ,5,1,1, , , ,3,110,NEAR CHOSHI CITY        , 28,K
J,2018,02,01,00,38,51.85,0.26, 44,0209, 120, 148,1298, 139,0,0,4.2,V,0, ,5,2,1, , , ,1, 25,SE OFF ETOROFU          , 28,K
J,2018,02,01,00,39,50.04,0.26, 40,1351, 061, 142,3130, 120,30.31,3.1,1.1,V,0, ,5,1,1, , , ,2, 61,NE OFF IWATE PREF       , 22,A
J,2018,02,01,00,40,56.74,0.05, 36,4920, 012, 140,3531, 022,5.69,0.64,0.1,V,0, ,5,1,1, , , ,3, 86,NORTHERN IBARAKI PREF   , 14,A
J,2018,02,01,00,41,1.72,0.07, 37,4507, 016, 141,0579, 037,65.42,0.55,3.1,V,0, ,5,1,1, , , ,2, 69,E OFF FUKUSHIMA PREF    , 40,K
J,2018,02,01,00,42,10.05,0.23, 31,0582, 060, 130,0959, 147,181.03,1.95,2.1,V,0, ,5,1,1, , , ,7,275,SATSUMA PENINSULA REGION, 18,K
J,2018,02,01,00,44,18.99,0.08, 22,5417, 047, 121,1495, 064,0.65,1.38,3.5,v,0, ,5,1,1, , , ,8,311,TAIWAN REGION           , 10,K
J,2018,02,01,00,45,33.99,0.15, 43,4095, 040, 144,4373, 048,6.12,2.77,0.3,v,0, ,5,1,1, , , ,1,  6,NEMURO REGION           ,  9,A
J,2018,02,01,00,45,54.46,0.26, 35,2064, 061, 136,4189, 066,41.3,1.93,0,v,0, ,5,1,1, , , ,4,139,SW GIFU PREF            , 19,A
J,2018,02,01,00,47,10.1,0.13, 35,4700, 030, 140,0517, 053,63.55,1.15,0.6,V,0, ,5,1,1, , , ,3, 92,NORTHERN CHIBA PREF     , 25,A
J,2018,02,01,00,49,18.37,0.08, 32,4517, 016, 130,4581, 031,14.99,0.82,-0.1,V,0, ,5,1,1, , , ,7,269,NW KUMAMOTO PREF        , 13,A
J,2018,02,01,00,53,27.57,0.07, 35,2856, 018, 138,1575, 024,10.98,1.07,0.5,V,0, ,5,1,1, , , ,4,150,AKAISHI MOUNTAINS REG   , 20,K
J,2018,02,01,00,58,44.54,0.05, 36,5123, 008, 140,3842, 025,8.6,0.43,0.7,V,0, ,5,1,1, , , ,3, 86,NORTHERN IBARAKI PREF   , 24,A
J,2018,02,01,00,59,2.62,0.17, 40,1482, 032, 139,0681, 083,26.45,1.69,2.3,V,0, ,5,1,1, , , ,2, 58,W OFF AKITA PREF        , 32,K
J,2018,02,01,00,59,39.7,0.11, 38,1254, 040, 141,5425, 066,21.29,1.28,0.9,V,0, ,5,1,1, , , ,2, 65,E OFF MIYAGI PREF       , 17,A
J,2018,02,01,01,00,10.51,0.04, 35,1816, 012, 135,2331, 014,10.66,0.6,0.5,V,0, ,5,1,1, , , ,5,182,NORTHERN KYOTO PREF     , 26,A
J,2018,02,01,01,03,10.69,0.16, 36,1515, 035, 139,2347, 039,13.32,1.83,0.4,V,0, ,5,1,1, , , ,3, 82,SE GUNMA PREF           , 14,A
J,2018,02,01,01,03,13.97,0.15, 25,2957, 204, 124,1604, 109,137.14,3.28,2.2,v,0, ,5,1,1, , , ,7,288,NW OFF MIYAKOJIMA ISLAND, 10,K
J,2018,02,01,01,07,3.65,0.18, 30,4136, 044, 132,0456, 115,57.54,2.75,1.9,V,0, ,5,1,1, , , ,7,297,E OFF TANEGASHIMA ISLAND, 18,K
J,2018,02,01,01,07,21.53,0.13, 30,4219, 032, 132,0206, 081,55.95,2.29,2.4,V,0, ,5,1,1, , , ,7,297,E OFF TANEGASHIMA ISLAND, 37,K
J,2018,02,01,01,10,56.65,0.06, 36,4910, 013, 140,3260, 021,7.46,0.82,0,v,0, ,5,1,1, , , ,3, 86,NORTHERN IBARAKI PREF   , 11,A
J,2018,02,01,01,12,24.02,0.12, 34,2737, 032, 139,0873, 035,13.36,1.68,0.9,V,0, ,5,1,1, , , ,3,103,NEAR NIIJIMA ISLAND     , 17,A
J,2018,02,01,01,12,25.83,0.05, 40,0394, 017, 140,3287, 023,6.69,1.9,1,V,0, ,5,1,1, , , ,2, 46,NORTHERN AKITA PREF     , 24,A
J,2018,02,01,01,18,18.52,0.46, 34,5492, 149, 140,2968, 209,64.53,3.28,1.1,v,0, ,5,1,1, , , ,3,108,SE OFF BOSO PENINSULA   , 20,A
J,2018,02,01,01,21,57.98,0.24, 29,1304, 089, 129,1007, 076,12,0,1.8,v,0, ,5,2,1, , , ,7,285,NEAR TOKARA ISLANDS     ,  3,s
J,2018,02,01,01,24,35.57,0.03, 33,0025, 011, 131,1226, 011,8.87,0.53,0.6,V,0, ,5,1,1, , , ,7,270,NE KUMAMOTO PREF        , 24,A
J,2018,02,01,01,28,5.3,0.06, 34,3445, 015, 135,1592, 025,9.03,1.3,0.3,V,0, ,5,1,1, , , ,5,204,OSAKA BAY REGION        , 16,A
J,2018,02,01,01,28,37.79,0.06, 36,4856, 019, 140,2998, 026,5.75,1.43,0.2,V,0, ,5,1,1, , , ,2, 55,MID FUKUSHIMA PREF      , 11,A
J,2018,02,01,01,29,36.25,0.37, 32,3496, 070, 130,4489, 177,9.88,3.56,-0.5,v,0, ,5,1,1, , , ,7,271,SOUTHERN KUMAMOTO PREF  ,  3,a
J,2018,02,01,01,31,32.67,0.17, 32,3167, 065, 135,5680, 087,32.36,2.77,1.8,V,0, ,5,1,1, , , ,6,248,S OFF KII PENINSULA     , 23,A
J,2018,02,01,01,32,13.41,0.12, 36,0112, 023, 138,0522, 022,7.04,1.05,-0.4,v,0, ,5,1,1, , , ,4,147,CENTRAL NAGANO PREF     , 10,A
J,2018,02,01,01,32,50.13,0.05, 32,4301, 015, 130,3075, 029,10.92,0.92,0.2,V,0, ,5,1,1, , , ,7,269,NW KUMAMOTO PREF        , 17,A
J,2018,02,01,01,35,19.13,0.14, 36,2627, 025, 140,4619, 057,22.88,1.04,0.5,V,0, ,5,1,1, , , ,3,111,E OFF IBARAKI PREF      , 14,A
J,2018,02,01,01,36,12.99,0.03, 36,4947, 008, 140,3566, 017,5.04,0.51,0.4,V,0, ,5,1,1, , , ,3, 86,NORTHERN IBARAKI PREF   , 24,A
J,2018,02,01,01,39,28.56,0.06, 36,4972, 011, 140,2909, 013,9.21,0.75,-0.1,v,0, ,5,1,1, , , ,2, 55,MID FUKUSHIMA PREF      ,  9,A
J,2018,02,01,01,41,52.14,0.14, 38,4546, 035, 142,0867, 091,38.82,2.01,1,V,0, ,5,1,1, , , ,2, 65,E OFF MIYAGI PREF       , 22,A
J,2018,02,01,01,42,41.49,0.28, 38,3510, 180, 140,3770, 235,106.27,3.33,0, ,0, ,5,1,1, , , ,2, 50,NORTHERN MIYAGI PREF    ,  7,k
J,2018,02,01,01,43,49.13,0.05, 32,1175, 020, 130,2103, 027,5.39,1,0,V,0, ,5,1,1, , , ,7,271,SOUTHERN KUMAMOTO PREF  , 11,A
J,2018,02,01,01,44,10.83,0.08, 36,1963, 024, 140,3820, 040,84.29,0.6,0.9,V,0, ,5,1,1, , , ,3, 86,NORTHERN IBARAKI PREF   , 19,A
J,2018,02,01,01,46,36.93,0.09, 32,1167, 026, 131,4214, 042,15.1,0.98,0.4,V,0, ,5,1,1, , , ,7,300,HYUGANADA REGION        , 14,A
J,2018,02,01,01,47,10.81,0.04, 33,4854, 015, 134,3408, 015,6.84,0.35,-0.4,V,0, ,5,1,1, , , ,6,231,TOKUSHIMA PREF          ,  5,A
J,2018,02,01,02,01,50.99,0.22, 29,1638, 070, 130,4459, 112,25,0,1.9,v,0, ,5,2,1, , , ,7,296,NEAR AMAMI-OSHIMA ISLAND,  8,A
J,2018,02,01,02,02,25,0.05, 32,4887, 011, 130,3345, 028,12.39,0.61,0,V,0, ,5,1,1, , , ,7,269,NW KUMAMOTO PREF        , 10,A
J,2018,02,01,02,05,41.2,0.08, 38,4727, 020, 142,0317, 052,51.86,0.92,1.7,V,0, ,5,1,1, , , ,2, 66,KINKAZAN REGION         , 31,K
J,2018,02,01,02,07,25.97,0.03, 32,2837, 013, 130,3379, 015,7.04,1.15,0.7,V,0, ,5,1,1, , , ,7,271,SOUTHERN KUMAMOTO PREF  , 27,A
J,2018,02,01,02,11,7.56,0.08, 35,3886, 023, 136,1879, 027,13.65,1.42,1,V,0, ,5,1,1, , , ,5,197,SHIGA GIFU BORDER REGION, 32,A
J,2018,02,01,02,15,54.78,0.14, 39,1909, 045, 141,0114, 066,132.37,1.08,1.8,V,0, ,5,1,1, , , ,2, 49,SOUTHERN IWATE PREF     , 33,K
J,2018,02,01,02,15,55.94,0.07, 31,2144, 026, 130,3700, 022,6.37,2.77,0.5,V,0, ,5,1,1, , , ,7,275,SATSUMA PENINSULA REGION, 14,A
J,2018,02,01,02,17,51.84,0.13, 38,2334, 049, 142,0733, 079,33.61,1.96,1.1,V,0, ,5,1,1, , , ,2, 65,E OFF MIYAGI PREF       ,  9,k
J,2018,02,01,02,18,8.7,0.14, 38,5335, 045, 141,3773, 093,67.13,0.97,0.6,V,0, ,5,1,1, , , ,2, 50,NORTHERN MIYAGI PREF    , 17,k
J,2018,02,01,02,19,30.93,0.02, 37,0476, 009, 140,3246, 015,5.87,0.59,1.2,V,0, ,5,1,1, , , ,2, 55,MID FUKUSHIMA PREF      , 32,A
J,2018,02,01,02,25,12.33,0.04, 32,5528, 015, 130,2053, 015,11.11,0.88,0.5,V,0, ,5,1,1, , , ,7,264,NORTHERN ARIAKEKAI REG  , 24,A
J,2018,02,01,02,32,22.23,0.25, 35,4804, 074, 140,5482, 095,25.07,1.75,1.3,V,0, ,5,1,1, , , ,3,110,NEAR CHOSHI CITY        , 18,A
J,2018,02,01,02,32,57.43,0.17, 37,3765, 064, 140,4851, 114,107.98,1.2,1,V,0, ,5,1,1, , , ,2, 56,EASTERN FUKUSHIMA PREF  , 17,A
J,2018,02,01,02,36,29.93,0.12, 37,5182, 056, 141,2649, 093,81.95,1.2,0.9,V,0, ,5,1,1, , , ,2, 69,E OFF FUKUSHIMA PREF    , 13,k
J,2018,02,01,02,36,50.56,0.25, 35,5835, 076, 141,0417, 120,33.04,2.39,1.4,V,0, ,5,1,1, , , ,3,111,E OFF IBARAKI PREF      , 17,A
J,2018,02,01,02,41,2.42,0.13, 36,3848, 021, 141,0361, 068,29.76,1.15,1.1,V,0, ,5,1,1, , , ,3,111,E OFF IBARAKI PREF      , 29,A
J,2018,02,01,02,42,48.41,0.07, 35,5272, 023, 137,3448, 025,7.58,0.92,-0.1,v,0, ,5,1,1, , , ,4,148,WESTERN NAGANO PREF     , 10,A
J,2018,02,01,02,43,57.21,0.03, 36,5298, 008, 140,3441, 017,7.88,0.55,0.9,V,0, ,5,1,1, , , ,3, 86,NORTHERN IBARAKI PREF   , 32,A
J,2018,02,01,02,44,54.61,0.09, 35,1306, 016, 138,2295, 023,18.22,0.69,0,V,0, ,5,1,1, , , ,4,157,CENTRAL SHIZUOKA PREF   , 10,K
J,2018,02,01,02,46,47.54,0.48, 34,0309, 358, 138,0029, 471,350,0,2.6,V,0, ,5,2,1, , , ,4,169,ENSYUNADA               ,  8,s
J,2018,02,01,02,47,12.81,0.09, 36,5140, 018, 140,3402, 029,7.73,1.05,-0.2,v,0, ,5,1,1, , , ,3, 86,NORTHERN IBARAKI PREF   ,  6,k
J,2018,02,01,02,53,25.91,0.04, 32,5723, 016, 131,0152, 018,8.53,0.84,1.2,V,0, ,5,1,1, , , ,7,270,NE KUMAMOTO PREF        , 32,A
J,2018,02,01,02,54,45.68,0.05, 31,2326, 017, 130,3693, 016,8.14,1.42,1,V,0, ,5,1,1, , , ,7,275,SATSUMA PENINSULA REGION, 15,A
J,2018,02,01,02,55,14.54,0.11, 38,3763, 023, 141,4120, 110,49.71,1.25,0.4,V,0, ,5,1,1, , , ,2, 66,KINKAZAN REGION         , 13,k
J,2018,02,01,02,55,54.07,0.27, 32,3313, 063, 131,5280, 131,39.16,2.09,0.1,v,0, ,5,1,1, , , ,7,300,HYUGANADA REGION        ,  9,A
J,2018,02,01,02,58,17.54,0.05, 32,5926, 015, 131,0581, 012,10.26,0.66,0,V,0, ,5,1,1, , , ,7,270,NE KUMAMOTO PREF        , 12,k
J,2018,02,01,02,59,23.94,0.16, 40,4377, 035, 140,2781, 035,16.01,1.54,0.1,v,0, ,5,1,1, , , ,2, 44,WESTERN AOMORI PREF     , 12,k
J,2018,02,01,03,00,9.91,0.05, 40,0307, 016, 140,3193, 019,7.61,1.42,0.4,v,0, ,5,1,1, , , ,2, 46,NORTHERN AKITA PREF     , 18,k
J,2018,02,01,03,00,57.98,0.05, 31,2285, 018, 130,3691, 020,8.41,1.54,1,V,0, ,5,1,1, , , ,7,275,SATSUMA PENINSULA REGION, 24,A
J,2018,02,01,03,01,40.85,0.28, 36,2000, 097, 140,0172, 122,73.34,2.05,0.4,V,0, ,5,1,1, , , ,3, 88,SW IBARAKI PREF         , 14,A
J,2018,02,01,03,05,39.65,0.13, 40,5592, 028, 139,2567, 067,15.96,1.53,2.2,V,0, ,5,1,1, , , ,2, 59,W OFF AOMORI PREF       , 33,K
J,2018,02,01,03,08,2.61,0.04, 33,0762, 013, 130,2690, 015,10.54,0.75,0.4,V,0, ,5,1,1, , , ,7,264,NORTHERN ARIAKEKAI REG  , 22,A
J,2018,02,01,03,08,39.43,0.16, 41,0447, 049, 142,4607, 094,7,0,0, ,0, ,5,2,1, , , ,2, 60,E OFF AOMORI PREF       ,  9,s
J,2018,02,01,03,12,37.89,0.17, 37,0543, 050, 141,2485, 078,30.12,1.89,1.1,V,0, ,5,1,1, , , ,2, 69,E OFF FUKUSHIMA PREF    , 11,k
J,2018,02,01,03,13,57.35,0.11, 35,2984, 021, 139,0326, 026,17.57,0.86,0.6,V,0, ,5,1,1, , , ,4,152,EASTERN YAMANASHI PREF  , 20,A
J,2018,02,01,03,16,58.22,0.1, 32,3268, 037, 130,4346, 039,7.35,1.61,0,v,0, ,5,1,1, , , ,7,271,SOUTHERN KUMAMOTO PREF  , 18,A
J,2018,02,01,03,18,25.14,0.05, 34,0062, 022, 134,1696, 028,5.02,4.91,-0.2,v,0, ,5,1,1, , , ,6,231,TOKUSHIMA PREF          , 10,a
J,2018,02,01,03,21,16.55,0.16, 43,0807, 135, 144,2567, 098,127.16,1.07,1.1,v,0, ,5,1,1, , , ,1,  8,KUSHIRO REGION          ,  9,k
J,2018,02,01,03,27,6.6,0.05, 36,4816, 011, 140,3320, 023,8.6,0.64,0.2,V,0, ,5,1,1, , , ,3, 86,NORTHERN IBARAKI PREF   , 15,A
J,2018,02,01,03,27,30.48,0.05, 38,0836, 033, 140,2679, 026,2.66,0.97,0, ,0, ,5,1,1, , , ,2, 51,SOUTHERN MIYAGI PREF    ,  8,k
J,2018,02,01,03,30,30.21,0.04, 36,4817, 010, 140,3325, 022,8.89,0.56,0.5,V,0, ,5,1,1, , , ,3, 86,NORTHERN IBARAKI PREF   , 22,A
J,2018,02,01,03,34,14.67,0.08, 38,1559, 028, 141,3582, 039,61.16,0.52,1.1,V,0, ,5,1,1, , , ,2, 66,KINKAZAN REGION         , 25,A
J,2018,02,01,03,37,21.03,0.05, 31,2147, 015, 130,3713, 011,10.31,0.92,0.5,v,0, ,5,1,1, , , ,7,275,SATSUMA PENINSULA REGION, 14,A
J,2018,02,01,03,37,49.33,0.03, 36,4799, 007, 140,3281, 015,10.66,0.37,0.9,V,0, ,5,1,1, , , ,3, 86,NORTHERN IBARAKI PREF   , 27,A
J,2018,02,01,03,40,17.17,0.06, 33,2194, 010, 130,5358, 018,11.32,0.72,-0.1,v,0, ,5,1,1, , , ,7,280,NORTHERN OITA PREF      ,  8,k
J,2018,02,01,03,40,31.4,0.03, 32,4648, 011, 130,3666, 017,9.15,0.68,0.3,V,0, ,5,1,1, , , ,7,269,NW KUMAMOTO PREF        , 26,A
J,2018,02,01,03,42,17.52,0.04, 39,3637, 009, 141,5057, 018,12.69,0.44,1.1,V,0, ,5,1,1, , , ,2, 48,NORTHERN IWATE PREF     , 31,A
J,2018,02,01,03,42,33.04,0.04, 32,3094, 016, 130,3843, 018,8.05,0.87,1.4,V,0, ,5,1,1, , , ,7,271,SOUTHERN KUMAMOTO PREF  , 32,A
J,2018,02,01,03,44,56.56,0.21, 43,0086, 086, 146,5710, 118,52.58,3.53,2.6,V,0, ,5,1,1, , , ,1, 26,E OFF HOKKAIDO          , 26,K
J,2018,02,01,03,50,46.58,0.15, 36,5052, 055, 140,3299, 096,97.57,0.85,0.9,V,0, ,5,1,1, , , ,3, 86,NORTHERN IBARAKI PREF   , 20,A
J,2018,02,01,03,59,21.68,0.08, 34,0219, 019, 134,3477, 025,34.45,0.71,0.6,V,0, ,5,1,1, , , ,6,231,TOKUSHIMA PREF          , 21,A
J,2018,02,01,03,59,49.48,0.04, 36,4790, 009, 140,3556, 021,6.87,0.53,1,V,0, ,5,1,1, , , ,3, 86,NORTHERN IBARAKI PREF   , 28,A
J,2018,02,01,04,05,0.29,0.04, 32,4739, 012, 130,5058, 019,10.93,0.52,0,v,0, ,5,1,1, , , ,7,269,NW KUMAMOTO PREF        , 13,A
J,2018,02,01,04,06,8.53,0.13, 32,5909, 045, 131,2667, 054,102.07,1.05,2.9,V,0, ,5,1,1, , , ,7,279,SOUTHERN OITA PREF      , 40,K
J,2018,02,01,04,07,38.03,0.03, 36,5153, 008, 140,3415, 017,7.71,0.58,1.3,V,0, ,5,1,1, , , ,3, 86,NORTHERN IBARAKI PREF   , 32,A
J,2018,02,01,04,08,14.19,0.21, 28,1959, 154, 140,3036, 425,415,0,3.9,V,0, ,5,2,1, , , ,8,332,W OFF OGASAWARA         , 28,K
J,2018,02,01,04,08,44.91,0.09, 32,2782, 039, 130,3875, 032,6.32,1.93,-0.1,v,0, ,5,1,1, , , ,7,271,SOUTHERN KUMAMOTO PREF  ,  8,A
J,2018,02,01,04,16,12.2,0.06, 36,4925, 013, 140,3339, 028,7.69,0.77,0.4,V,0, ,5,1,1, , , ,3, 86,NORTHERN IBARAKI PREF   , 18,A
J,2018,02,01,04,18,19.24,0.38, 35,2337, 080, 140,3075, 172,30.83,4.1,1.2,V,0, ,5,1,1, , , ,3, 94,KUJUKURI COAST BOSO PEN , 16,A
J,2018,02,01,04,19,22.33,0.05, 32,5764, 035, 131,0231, 029,7.73,0.65,-0.3,v,0, ,5,1,1, , , ,7,270,NE KUMAMOTO PREF        ,  6,A
J,2018,02,01,04,20,3.79,0.08, 31,5772, 025, 130,1187, 030,8.26,0.77,0.3,V,0, ,5,1,1, , , ,7,283,W OFF AMAKUSA ISLAND    , 14,A
J,2018,02,01,04,25,41.99,0.32, 30,3038, 103, 132,1722, 140,67,0,1.8,v,0, ,5,2,1, , , ,7,297,E OFF TANEGASHIMA ISLAND, 10,k
J,2018,02,01,04,26,9.75,0.16, 29,3997, 134, 129,4455, 244,6.98,2.23,1.9,V,0, ,5,1,1, , , ,7,285,NEAR TOKARA ISLANDS     ,  8,k
J,2018,02,01,04,28,44.76,0.25, 35,5809, 102, 138,5882, 129,133.81,1.93,1.2,V,0, ,5,1,1, , , ,3, 90,WESTERN SAITAMA PREF    , 17,A
J,2018,02,01,04,30,38.5,0.05, 32,3905, 010, 131,3788, 017,10.57,0.67,0.2,V,0, ,5,1,1, , , ,7,278,NORTHERN MIYAZAKI PREF  , 17,A
J,2018,02,01,04,31,17.04,0.03, 34,0240, 011, 131,5161, 011,16.42,0.37,0.5,V,0, ,5,1,1, , , ,6,226,YAMAGUCHI PREF          , 24,A
J,2018,02,01,04,31,58.62,0.07, 34,5343, 019, 132,4485, 019,10.09,0.93,0.1,v,0, ,5,1,1, , , ,6,224,SHIMANE HIROSHIMA BORDER,  7,A
J,2018,02,01,04,32,54.03,0.06, 41,5824, 027, 140,5882, 091,6.45,2.09,0.8,v,0, ,5,1,1, , , ,1, 32,UCHIURA BAY REGION      ,  9,A
J,2018,02,01,04,37,14.82,0.12, 39,0373, 033, 142,2367, 071,35.19,2.05,0, ,0, ,5,1,1, , , ,2, 62,E OFF IWATE PREF        , 12,k
J,2018,02,01,04,40,27.7,0.27, 44,3887, 070, 141,4557, 127,0,0,0.7,v,0, ,5,2,1, , , ,1, 21,NW OFF HOKKAIDO         , 10,k
J,2018,02,01,04,43,17.76,0.15, 40,1893, 039, 142,1935, 076,32.72,1.28,1.3,V,0, ,5,1,1, , , ,2, 61,NE OFF IWATE PREF       , 24,A
J,2018,02,01,04,43,56.03,0.32, 42,5078, 083, 142,4674, 115,81.7,2.76,0.9,V,0, ,5,1,1, , , ,1, 11,HIDAKA MOUNTAINS REGION , 27,A
J,2018,02,01,04,44,40.52,0.14, 31,2131, 046, 130,3681, 036,12.19,2.37,0.4,V,0, ,5,1,1, , , ,7,275,SATSUMA PENINSULA REGION, 12,A
J,2018,02,01,04,51,35.91,0.16, 31,2289, 038, 130,3586, 030,9.47,2.21,0.3,v,0, ,5,1,1, , , ,7,275,SATSUMA PENINSULA REGION,  8,a
J,2018,02,01,04,51,40.73,0.03, 33,5369, 015, 132,5096, 016,8.41,0.7,0.8,V,0, ,5,1,1, , , ,6,236,NE EHIME PREF           , 30,A
J,2018,02,01,04,52,33.65,0.06, 36,4953, 015, 140,3505, 025,6.26,0.67,0.2,v,0, ,5,1,1, , , ,3, 86,NORTHERN IBARAKI PREF   , 10,A
J,2018,02,01,05,02,49.21,0.04, 34,0275, 013, 135,0596, 017,7.31,1.02,0.7,V,0, ,5,1,1, , , ,5,190,NW WAKAYAMA PREF        , 30,A
J,2018,02,01,05,04,55.38,0.09, 35,1900, 022, 139,0407, 032,16.62,0.81,1.1,V,0, ,5,1,1, , , ,3, 97,KANAGAWA PREF           , 30,A
J,2018,02,01,05,06,45.58,0.24, 38,3947, 080, 144,0972, 118,46,0,3.1,V,0, ,5,2,1, , , ,8,327,FAR E OFF NORTH HONSHU  , 28,K
J,2018,02,01,05,09,43.98,0.08, 35,2874, 021, 138,1581, 030,11.15,1.18,0.4,V,0, ,5,1,1, , , ,4,150,AKAISHI MOUNTAINS REG   , 23,A
J,2018,02,01,05,15,54.82,0.06, 32,4305, 013, 130,3838, 024,14.5,0.82,0.3,V,0, ,5,1,1, , , ,7,269,NW KUMAMOTO PREF        , 18,A
J,2018,02,01,05,18,11.95,0.14, 33,1830, 050, 132,0763, 038,46.97,1.22,0.3,v,0, ,5,1,1, , , ,6,245,BUNGO CHANNEL           , 16,A
J,2018,02,01,05,23,32.17,0.14, 38,2114, 046, 142,0709, 086,30.31,2.54,0.6,V,0, ,5,1,1, , , ,2, 65,E OFF MIYAGI PREF       , 15,k
J,2018,02,01,05,28,19.04,0.08, 38,1083, 037, 141,4657, 066,51.33,0.61,0.3,v,0, ,5,1,1, , , ,2, 65,E OFF MIYAGI PREF       , 11,k
J,2018,02,01,05,29,20.42,0.09, 35,1473, 023, 133,2337, 029,9.43,0.93,-0.1,v,0, ,5,1,1, , , ,6,222,WESTERN TOTTORI PREF    ,  9,A
J,2018,02,01,05,30,33.4,0.36, 34,5442, 125, 139,1236, 158,150.88,2.85,1.9,v,0, ,5,1,1, , , ,3,100,E OFF IZU PENINSULA     , 12,k
